date,weekday,dayofmonth,num_weekdayofmonth,,week_num,datestring
2019-06-01,Sat,1,1,1,Sat-1,2019-06-01
2019-06-02,Sun,2,2,1,Sun-1,2019-06-02
2019-06-03,Mon,3,3,1,Mon-1,2019-06-03
2019-06-04,Tue,4,4,1,Tue-1,2019-06-04
2019-06-05,Wed,5,5,1,Wed-1,2019-06-05
2019-06-06,Thu,6,6,1,Thu-1,2019-06-06
2019-06-07,Fri,7,7,1,Fri-1,2019-06-07
2019-06-08,Sat,8,1,2,Sat-2,2019-06-08
2019-06-09,Sun,9,2,2,Sun-2,2019-06-09
2019-06-10,Mon,10,3,2,Mon-2,2019-06-10
2019-06-11,Tue,11,4,2,Tue-2,2019-06-11
2019-06-12,Wed,12,5,2,Wed-2,2019-06-12
2019-06-13,Thu,13,6,2,Thu-2,2019-06-13
2019-06-14,Fri,14,7,2,Fri-2,2019-06-14
2019-06-15,Sat,15,1,3,Sat-3,2019-06-15
2019-06-16,Sun,16,2,3,Sun-3,2019-06-16
2019-06-17,Mon,17,3,3,Mon-3,2019-06-17
2019-06-18,Tue,18,4,3,Tue-3,2019-06-18
2019-06-19,Wed,19,5,3,Wed-3,2019-06-19
2019-06-20,Thu,20,6,3,Thu-3,2019-06-20
2019-06-21,Fri,21,7,3,Fri-3,2019-06-21
2019-06-22,Sat,22,1,4,Sat-4,2019-06-22
2019-06-23,Sun,23,2,4,Sun-4,2019-06-23
2019-06-24,Mon,24,3,4,Mon-4,2019-06-24
2019-06-25,Tue,25,4,4,Tue-4,2019-06-25
2019-06-26,Wed,26,5,4,Wed-4,2019-06-26
2019-06-27,Thu,27,6,4,Thu-4,2019-06-27
2019-06-28,Fri,28,7,4,Fri-4,2019-06-28
2019-06-29,Sat,29,1,5,Sat-5,2019-06-29
2019-06-30,Sun,30,2,5,Sun-5,2019-06-30
2019-07-01,Mon,1,1,1,Mon-1,2019-07-01
2019-07-02,Tue,2,2,1,Tue-1,2019-07-02
2019-07-03,Wed,3,3,1,Wed-1,2019-07-03
2019-07-04,Thu,4,4,1,Thu-1,2019-07-04
2019-07-05,Fri,5,5,1,Fri-1,2019-07-05
2019-07-06,Sat,6,6,1,Sat-1,2019-07-06
2019-07-07,Sun,7,7,1,Sun-1,2019-07-07
2019-07-08,Mon,8,1,2,Mon-2,2019-07-08
2019-07-09,Tue,9,2,2,Tue-2,2019-07-09
2019-07-10,Wed,10,3,2,Wed-2,2019-07-10
2019-07-11,Thu,11,4,2,Thu-2,2019-07-11
2019-07-12,Fri,12,5,2,Fri-2,2019-07-12
2019-07-13,Sat,13,6,2,Sat-2,2019-07-13
2019-07-14,Sun,14,7,2,Sun-2,2019-07-14
2019-07-15,Mon,15,1,3,Mon-3,2019-07-15
2019-07-16,Tue,16,2,3,Tue-3,2019-07-16
2019-07-17,Wed,17,3,3,Wed-3,2019-07-17
2019-07-18,Thu,18,4,3,Thu-3,2019-07-18
2019-07-19,Fri,19,5,3,Fri-3,2019-07-19
2019-07-20,Sat,20,6,3,Sat-3,2019-07-20
2019-07-21,Sun,21,7,3,Sun-3,2019-07-21
2019-07-22,Mon,22,1,4,Mon-4,2019-07-22
2019-07-23,Tue,23,2,4,Tue-4,2019-07-23
2019-07-24,Wed,24,3,4,Wed-4,2019-07-24
2019-07-25,Thu,25,4,4,Thu-4,2019-07-25
2019-07-26,Fri,26,5,4,Fri-4,2019-07-26
2019-07-27,Sat,27,6,4,Sat-4,2019-07-27
2019-07-28,Sun,28,7,4,Sun-4,2019-07-28
2019-07-29,Mon,29,1,5,Mon-5,2019-07-29
2019-07-30,Tue,30,2,5,Tue-5,2019-07-30
2019-07-31,Wed,31,3,5,Wed-5,2019-07-31
2019-08-01,Thu,1,1,1,Thu-1,2019-08-01
2019-08-02,Fri,2,2,1,Fri-1,2019-08-02
2019-08-03,Sat,3,3,1,Sat-1,2019-08-03
2019-08-04,Sun,4,4,1,Sun-1,2019-08-04
2019-08-05,Mon,5,5,1,Mon-1,2019-08-05
2019-08-06,Tue,6,6,1,Tue-1,2019-08-06
2019-08-07,Wed,7,7,1,Wed-1,2019-08-07
2019-08-08,Thu,8,1,2,Thu-2,2019-08-08
2019-08-09,Fri,9,2,2,Fri-2,2019-08-09
2019-08-10,Sat,10,3,2,Sat-2,2019-08-10
2019-08-11,Sun,11,4,2,Sun-2,2019-08-11
2019-08-12,Mon,12,5,2,Mon-2,2019-08-12
2019-08-13,Tue,13,6,2,Tue-2,2019-08-13
2019-08-14,Wed,14,7,2,Wed-2,2019-08-14
2019-08-15,Thu,15,1,3,Thu-3,2019-08-15
2019-08-16,Fri,16,2,3,Fri-3,2019-08-16
2019-08-17,Sat,17,3,3,Sat-3,2019-08-17
2019-08-18,Sun,18,4,3,Sun-3,2019-08-18
2019-08-19,Mon,19,5,3,Mon-3,2019-08-19
2019-08-20,Tue,20,6,3,Tue-3,2019-08-20
2019-08-21,Wed,21,7,3,Wed-3,2019-08-21
2019-08-22,Thu,22,1,4,Thu-4,2019-08-22
2019-08-23,Fri,23,2,4,Fri-4,2019-08-23
2019-08-24,Sat,24,3,4,Sat-4,2019-08-24
2019-08-25,Sun,25,4,4,Sun-4,2019-08-25
2019-08-26,Mon,26,5,4,Mon-4,2019-08-26
2019-08-27,Tue,27,6,4,Tue-4,2019-08-27
2019-08-28,Wed,28,7,4,Wed-4,2019-08-28
2019-08-29,Thu,29,1,5,Thu-5,2019-08-29
2019-08-30,Fri,30,2,5,Fri-5,2019-08-30
2019-08-31,Sat,31,3,5,Sat-5,2019-08-31
2019-09-01,Sun,1,1,1,Sun-1,2019-09-01
2019-09-02,Mon,2,2,1,Mon-1,2019-09-02
2019-09-03,Tue,3,3,1,Tue-1,2019-09-03
2019-09-04,Wed,4,4,1,Wed-1,2019-09-04
2019-09-05,Thu,5,5,1,Thu-1,2019-09-05
2019-09-06,Fri,6,6,1,Fri-1,2019-09-06
2019-09-07,Sat,7,7,1,Sat-1,2019-09-07
2019-09-08,Sun,8,1,2,Sun-2,2019-09-08
2019-09-09,Mon,9,2,2,Mon-2,2019-09-09
2019-09-10,Tue,10,3,2,Tue-2,2019-09-10
2019-09-11,Wed,11,4,2,Wed-2,2019-09-11
2019-09-12,Thu,12,5,2,Thu-2,2019-09-12
2019-09-13,Fri,13,6,2,Fri-2,2019-09-13
2019-09-14,Sat,14,7,2,Sat-2,2019-09-14
2019-09-15,Sun,15,1,3,Sun-3,2019-09-15
2019-09-16,Mon,16,2,3,Mon-3,2019-09-16
2019-09-17,Tue,17,3,3,Tue-3,2019-09-17
2019-09-18,Wed,18,4,3,Wed-3,2019-09-18
2019-09-19,Thu,19,5,3,Thu-3,2019-09-19
2019-09-20,Fri,20,6,3,Fri-3,2019-09-20
2019-09-21,Sat,21,7,3,Sat-3,2019-09-21
2019-09-22,Sun,22,1,4,Sun-4,2019-09-22
2019-09-23,Mon,23,2,4,Mon-4,2019-09-23
2019-09-24,Tue,24,3,4,Tue-4,2019-09-24
2019-09-25,Wed,25,4,4,Wed-4,2019-09-25
2019-09-26,Thu,26,5,4,Thu-4,2019-09-26
2019-09-27,Fri,27,6,4,Fri-4,2019-09-27
2019-09-28,Sat,28,7,4,Sat-4,2019-09-28
2019-09-29,Sun,29,1,5,Sun-5,2019-09-29
2019-09-30,Mon,30,2,5,Mon-5,2019-09-30
2019-10-01,Tue,1,1,1,Tue-1,2019-10-01
2019-10-02,Wed,2,2,1,Wed-1,2019-10-02
2019-10-03,Thu,3,3,1,Thu-1,2019-10-03
2019-10-04,Fri,4,4,1,Fri-1,2019-10-04
2019-10-05,Sat,5,5,1,Sat-1,2019-10-05
2019-10-06,Sun,6,6,1,Sun-1,2019-10-06
2019-10-07,Mon,7,7,1,Mon-1,2019-10-07
2019-10-08,Tue,8,1,2,Tue-2,2019-10-08
2019-10-09,Wed,9,2,2,Wed-2,2019-10-09
2019-10-10,Thu,10,3,2,Thu-2,2019-10-10
2019-10-11,Fri,11,4,2,Fri-2,2019-10-11
2019-10-12,Sat,12,5,2,Sat-2,2019-10-12
2019-10-13,Sun,13,6,2,Sun-2,2019-10-13
2019-10-14,Mon,14,7,2,Mon-2,2019-10-14
2019-10-15,Tue,15,1,3,Tue-3,2019-10-15
2019-10-16,Wed,16,2,3,Wed-3,2019-10-16
2019-10-17,Thu,17,3,3,Thu-3,2019-10-17
2019-10-18,Fri,18,4,3,Fri-3,2019-10-18
2019-10-19,Sat,19,5,3,Sat-3,2019-10-19
2019-10-20,Sun,20,6,3,Sun-3,2019-10-20
2019-10-21,Mon,21,7,3,Mon-3,2019-10-21
2019-10-22,Tue,22,1,4,Tue-4,2019-10-22
2019-10-23,Wed,23,2,4,Wed-4,2019-10-23
