Abhishekam,start_time,end_time,week_num
Ganesh Abhishekam,10:00:00,12:00:00,Sun-1
Rama Abhishekam,10:00:00,12:00:00,Sun-2
Ambaji Abhishekam,17:30:00,19:00:00,Sun-3
Krishna Abhishekam,10:00:00,12:00:00,Sun-4
Shiva Abhishekam,18:00:00,20:00:00,Mon-1
Durga Abhishekam,09:30:00,11:00:00,Tue-1
Navagraha Abhishekam,09:30:00,11:30:00,Tue-2
Visalakshi Abhishekam,09:30:00,11:30:00,Tue-4
Saraswathi Abhishekam,09:00:00,11:00:00,Fri-1
Lakshmi Abhishekam,09:30:00,11:00:00,Fri-2
Bhudevi Abhishekam,09:30:00,11:30:00,Fri-3
Balaji Abhishekam,10:00:00,12:30:00,Sat-1
Subramanya Abhishekam,09:30:00,11:30:00,Sat-2
Anjaneya Abhishekam,11:00:00,12:30:00,Sat-3
